IM,NM,DR,RG,CM,TL,AT,Horario
5881,SAN JUAN,av. argentina 275-a,5,45,+56963060175,0,"{'semana': 'Lunes - Viernes: 09:00 a 20:00 hrs.<br>Sábado: 10:00 a 18:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 20:00 hrs.<br>', 'turno': ''}"
1362,SAN JUAN ,camino a melipilla   2436  local 13,13,345,+560228111354,1,"{'semana': 'Lunes - Sábado: 09:00 a 21:00 hrs.<br>Domingo: 10:00 a 21:00 hrs.<br>Festivos: 10:00 a 21:00 hrs.<br>', 'dia': 'Viernes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
1961,SAN JUAN ,bernardo o'higgins   1010,13,342,+560228150084,1,"{'semana': 'Lunes - Viernes: 09:00 a 21:00 hrs.<br>Sábado: 10:00 a 20:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
5246,SAN JUAN,"condell 1525, local 4 ,valparaíso",5,45,+56942853102,0,"{'semana': 'Lunes - Viernes: 08:00 a 17:00 hrs.<br>Sábado y Domingo: Cerrado<br>', 'dia': 'Viernes: 08:00 a 17:00 hrs.<br>', 'turno': ''}"
3697,SAN JUAN,josé miguel carrera n° 385,6,89,+56722501161,0,"{'semana': 'Lunes - Sábado: 09:30 a 14:00 y 15:30 a 20:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:30 a 14:00 y 15:30 a 20:00 hrs.<br>', 'turno': ''}"
856,SAN JUAN,av. libertadores  301,13,343,+560228181737,1,"{'semana': 'Lunes - Sábado: 09:30 a 20:30 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:30 a 20:30 hrs.<br>', 'turno': ''}"
1397,SAN JUAN,"21 de mayo 4555 c,d",13,346,+560228120568,1,"{'semana': 'Lunes - Domingo: 09:00 a 22:00 hrs.<br>Festivos: 09:00 a 22:00 hrs.<br>', 'dia': 'Viernes: 09:00 a 22:00 hrs.<br>', 'turno': ''}"
7737,SAN LUIS,san luis de macul n°4961,13,316,,0,"{'semana': 'Lunes - Viernes: 10:00 a 20:00 hrs.<br>Sábado: 10:00 a 14:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 10:00 a 20:00 hrs.<br>', 'turno': ''}"
6462,SAN LUIS,cóndor n° 1029,13,295,,0,"{'semana': 'Lunes - Viernes: 10:00 a 18:00 hrs.<br>Sábado: 10:00 a 14:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 10:00 a 18:00 hrs.<br>', 'turno': ''}"
8171,SAN MANUEL,"ruta g-668 890, sector san manuel",13,337,,0,"{'semana': 'Lunes - Sábado: 09:00 a 18:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 18:00 hrs.<br>', 'turno': ''}"
808,SAN MARTIN,carretera general san martin 071. l-a,13,330,+560228441341,0,"{'semana': 'Lunes - Viernes: 09:30 a 22:00 hrs.<br>Sábado: 09:30 a 21:00 hrs.<br>Domingo: 09:30 a 14:00 hrs.<br>Festivos: 09:30 a 16:00 hrs.<br>', 'dia': 'Viernes: 09:30 a 22:00 hrs.<br>', 'turno': ''}"
221,SAN NICOLAS,av. el molo n° 139,5,71,+56352235962,0,"{'semana': 'Lunes - Viernes: 09:30 a 19:30 hrs.<br>Sábado: 10:00 a 19:30 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:30 a 19:30 hrs.<br>', 'turno': ''}"
23,SAN NICOLAS,j.j. perez n° 396,5,65,+56332229552,0,"{'semana': 'Lunes - Viernes: 09:00 a 21:00 hrs.<br>Sábado: 10:00 a 22:00 hrs.<br>Domingo: 10:30 a 15:30 hrs.<br>', 'dia': 'Viernes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
