IM,NM,DR,RG,CM,TL,AT,Horario
297,FARMACIA AHUMADA,bilbao esquina padre hurtado,1,5,+56232740573,1,"{'semana': 'Lunes - Sábado: 09:00 a 19:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 19:00 hrs.<br>', 'turno': ''}"
3475,FARMACIA AHUMADA,"av. balmaceda nº 3242, l-116",2,16,+560226313258,1,"{'semana': 'Lunes - Domingo: 10:00 a 22:00 hrs.<br>Festivos: 10:00 a 22:00 hrs.<br>', 'dia': 'Viernes: 10:00 a 22:00 hrs.<br>', 'turno': ''}"
298,FARMACIA AHUMADA,vivar 723,1,5,+560226313111,1,"{'semana': 'Lunes - Sábado: 10:00 a 18:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 10:00 a 18:00 hrs.<br>', 'turno': ''}"
3794,FARMACIA AHUMADA,av. argentina nº 1105,2,12,+560226313123,1,"{'semana': 'Lunes - Sábado: 09:00 a 21:00 hrs.<br>Domingo: 10:00 a 21:00 hrs.<br>Festivos: 10:00 a 21:00 hrs.<br>', 'dia': 'Viernes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
5199,FARMACIA AHUMADA,av. perez zujovic n°5470,2,12,+56977757349,1,"{'semana': 'Sábado y Domingo: Cerrado<br>', 'dia': 'Viernes: Cerrado', 'turno': ''}"
3476,FARMACIA AHUMADA,"av. balmaceda nº 3242, int. lider",2,16,+560226313470,1,"{'semana': 'Lunes - Jueves: 09:00 a 22:00 hrs.<br>Viernes - Sábado: 09:00 a 23:00 hrs.<br>Domingo: 09:00 a 22:00 hrs.<br>Festivos: 09:00 a 23:00 hrs.<br>', 'dia': 'Viernes: 09:00 a 23:00 hrs.<br>', 'turno': ''}"
314,FARMACIA AHUMADA,héroes de la concepción 2653  supermercado lider,1,5,+5602232740357,1,"{'semana': 'Lunes - Sábado: 08:30 a 19:00 hrs.<br>Domingo: 09:00 a 19:00 hrs.<br>Festivos: 09:00 a 19:00 hrs.<br>', 'dia': 'Viernes: 08:30 a 19:00 hrs.<br>', 'turno': ''}"
3453,FARMACIA AHUMADA ,eleuterio ramirez nº 2092,2,16,+560226313802,1,"{'semana': 'Lunes - Sábado: 09:00 a 21:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
5431,FARMACIA AHUMADA,"teresa wilms montt 2263, iquique",1,5,+569977757349,1,"{'semana': 'Lunes - Domingo: 08:30 a 18:00 hrs.<br>Festivos: 08:30 a 18:00 hrs.<br>', 'dia': 'Viernes: 08:30 a 18:00 hrs.<br>', 'turno': ''}"
3142,FARMACIA AHUMADA,o'higgins n° 561,3,21,+56232740394,1,"{'semana': 'Lunes: 09:30 a 21:00 hrs.<br>Martes: 09:30 a 23:00 hrs.<br>Miércoles - Viernes: 09:30 a 21:00 hrs.<br>Sábado: 10:00 a 20:00 hrs.<br>Domingo: 11:00 a 21:00 hrs.<br>', 'dia': 'Viernes: 09:30 a 21:00 hrs.<br>', 'turno': ''}"
3147,FARMACIA AHUMADA,av. copayapu n° 2296,3,21,+5602232740630,1,"{'semana': 'Lunes - Sábado: 09:00 a 22:00 hrs.<br>Domingo: 10:00 a 22:00 hrs.<br>Festivos: 10:00 a 22:00 hrs.<br>', 'dia': 'Viernes: 09:00 a 22:00 hrs.<br>', 'turno': ''}"
9055,FARMACIA ALCACEUTICAL,manuel antonio matta 2858 iquique,1,5,+5656962371330,0,"{'semana': 'Lunes - Viernes: 09:00 a 19:00 hrs.<br>Sábado: 10:00 a 19:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 19:00 hrs.<br>', 'turno': ''}"
